 
11 February  2008   5:05:58.508 PM      
 
TOMS322_PRB
  FORTRAN77 version
 
  Test ACM TOMS algorithm 322.
 
TEST01

               Testing two-tailed normal distribution

    N1   N2       X      P-Exp       P-Calc      E-Diff     E-Rel
    20   20    2.9377  0.1000E-01  0.1000E-01  0.6607E-06   0.000
    20  120    2.0346  0.1000E-01  0.9999E-02  0.5331E-06   0.000
   120    1 6339.3999  0.1000E-01  0.1000E-01  0.6581E-08   0.000
   120    2   99.4910  0.1000E-01  0.1000E-01  0.1657E-07   0.000
   120   10    3.9965  0.1000E-01  0.1000E-01  0.1898E-06   0.000
   120   20    2.5168  0.1000E-01  0.1000E-01  0.4217E-06   0.000
   120  120    1.5330  0.1000E-01  0.9999E-02  0.7335E-06   0.000
     1    1  161.4500  0.5000E-01  0.5000E-01  0.3644E-06   0.000
     1    2   18.5130  0.5000E-01  0.5000E-01  0.4510E-06   0.000
     1   10    4.9646  0.5000E-01  0.5000E-01  0.4981E-07   0.000
     1   20    4.3513  0.5000E-01  0.5000E-01  0.1346E-05   0.000
     1  120    3.9201  0.5000E-01  0.5000E-01  0.7019E-06   0.000
     2    1  199.5000  0.5000E-01  0.5000E-01  0.7451E-09   0.000
     2    2   19.0000  0.5000E-01  0.5000E-01  0.7451E-09   0.000
     2   10    4.1028  0.5000E-01  0.5000E-01  0.5794E-06   0.000
     2   20    3.4928  0.5000E-01  0.5000E-01  0.1055E-05   0.000
     2  120    3.0718  0.5000E-01  0.5000E-01  0.9800E-06   0.000
    10    1  241.8800  0.5000E-01  0.5000E-01  0.1791E-06   0.000
    10    2   19.3960  0.5000E-01  0.5000E-01  0.2587E-06   0.000
    10   10    2.9782  0.5000E-01  0.5000E-01  0.1849E-05   0.000
    10   20    2.3479  0.5000E-01  0.5000E-01  0.1856E-05   0.000
    10  120    1.9105  0.5000E-01  0.4999E-01  0.5375E-05   0.000
    20    1  248.0100  0.5000E-01  0.5000E-01  0.3101E-06   0.000
    20    2   19.4460  0.5000E-01  0.5000E-01  0.5773E-06   0.000
    20   10    2.7740  0.5000E-01  0.5000E-01  0.9405E-06   0.000
    20   20    2.1242  0.5000E-01  0.5000E-01  0.4654E-05   0.000
    20  120    1.6587  0.5000E-01  0.5000E-01  0.4031E-05   0.000
   120    1  253.2500  0.5000E-01  0.5000E-01  0.2806E-06   0.000
   120    2   19.4870  0.5000E-01  0.5000E-01  0.9843E-06   0.000
   120   10    2.5801  0.5000E-01  0.5000E-01  0.1434E-05   0.000
   120   20    1.8963  0.5000E-01  0.5000E-01  0.2383E-05   0.000
   120  120    1.3519  0.5000E-01  0.4999E-01  0.5607E-05   0.000
     1    1    1.0000  0.5000      0.5000      0.2546E-10   0.000
     1    2    0.6667  0.5000      0.5000      0.9444E-06   0.000
     1   10    0.4897  0.5000      0.5000      0.2958E-05   0.000
     1   20    0.4719  0.5000      0.5000      0.6076E-05   0.000
     1  120    0.4577  0.5000      0.5000      0.1590E-04   0.000
     2    1    1.5000  0.5000      0.5000       0.000       0.000
     2    2    1.0000  0.5000      0.5000       0.000       0.000
     2   10    0.7435  0.5000      0.5000      0.7810E-06   0.000
     2   20    0.7177  0.5000      0.5000      0.2164E-05   0.000
     2  120    0.6972  0.5000      0.5000      0.1780E-05   0.000
    10    1    2.0419  0.5000      0.5000      0.1302E-05   0.000
    10    2    1.3450  0.5000      0.5000      0.1146E-05   0.000
    10   10    1.0000  0.5000      0.5000       0.000       0.000
    10   20    0.9663  0.5000      0.5000      0.2857E-05   0.000
    10  120    0.9394  0.5000      0.5000      0.5346E-05   0.000
    20    1    2.1190  0.5000      0.5000      0.6396E-05   0.000
    20    2    1.3933  0.5000      0.5000      0.6594E-05   0.000
    20   10    1.0349  0.5000      0.5000      0.9661E-05   0.000
    20   20    1.0000  0.5000      0.5000       0.000       0.000
    20  120    0.9723  0.5000      0.5000      0.4928E-06   0.000
   120    1    2.1848  0.5000      0.5000      0.8501E-06   0.000
   120    2    1.4344  0.5000      0.5000      0.5335E-05   0.000
   120   10    1.0645  0.5000      0.5000      0.1404E-04   0.000
   120   20    1.0285  0.5000      0.5000      0.1207E-04   0.000
   120  120    1.0000  0.5000      0.5000      0.4441E-15   0.000
 
TOMS322_PRB:
  Normal end of execution.
 
11 February  2008   5:05:58.523 PM      
