20060111  062810.000
 
TOMS392_PRB
  Test TOMS algorithm 392, which approximates
  the time evolution of a system governed
  by hyperpolic PDE's.
1
 
       X               Y               U               V
    0.207127        0.163734        0.401033         2.42736    
    0.220019        0.166196        0.412290         2.45785    
    0.232923        0.168682        0.423829         2.48873    
    0.245837        0.171192        0.435665         2.51999    
    0.258763        0.173727        0.447804         2.55165    
    0.271700        0.176285        0.460248         2.58370    
    0.284649        0.178870        0.473013         2.61616    
    0.297611        0.181480        0.486098         2.64904    
    0.310584        0.184116        0.499519         2.68232    
    0.323571        0.186779        0.513283         2.71602    
    0.336570        0.189468        0.527382         2.75015    
    0.349582        0.192185        0.541857         2.78471    
    0.362608        0.194928        0.556709         2.81969    
    0.375647        0.197699        0.571927         2.85513    
    0.388701        0.200500        0.587541         2.89101    
    0.401769        0.203328        0.603553         2.92734    
    0.414852        0.206186        0.619967         2.96413    
    0.427949        0.209073        0.636814         3.00138    
    0.441063        0.211990        0.654092         3.03910    
    0.454192        0.214937        0.671806         3.07730    
    0.467337        0.217914        0.689972         3.11597    
    0.480499        0.220926        0.708618         3.15514    
    0.493677        0.223964        0.727733         3.19480    
    0.506874        0.227038        0.747334         3.23495    
    0.520087        0.230143        0.767448         3.27561    
    0.533320        0.233280        0.788085         3.31679    
    0.546570        0.236451        0.809250         3.35848    
    0.559840        0.239655        0.830956         3.40070    
    0.573130        0.242893        0.853233         3.44344    
    0.586439        0.246166        0.876094         3.48673    
    0.599768        0.249472        0.899519         3.53055    
    0.613118        0.252811        0.923548         3.57494    
    0.626491        0.256191        0.948220         3.61988    
    0.639884        0.259603        0.973505         3.66539    
    0.653299        0.263053        0.999467         3.71146    
    0.666739        0.266540         1.02609         3.75812    
    0.680201        0.270061         1.05345         3.80536    
    0.693688        0.273624         1.08162         3.85320    
    0.707199        0.277221         1.11017         3.90164    
    0.720735        0.280858         1.13976         3.95070    
    0.734297        0.284532         1.17006         4.00037    
    0.747887        0.288250         1.20118         4.05066    
    0.761501        0.291999         1.23293         4.10158    
    0.775146        0.295797         1.26569         4.15315    
    0.788818        0.299632         1.29933         4.20536    
    0.802517        0.303501         1.33357         4.25824    
    0.816246        0.307418         1.36890         4.31177    
    0.830008        0.311377         1.40523         4.36598    
    0.843798        0.315375         1.44243         4.42089    
    0.857620        0.319406         1.48042         4.47648    
    0.871478        0.323519         1.51976         4.53273    
    0.885367        0.327624         1.55993         4.58974    
    0.899289        0.331799         1.60115         4.64745    
    0.913257        0.336029         1.64390         4.70585    
    0.927239        0.340257         1.68690         4.76505    
    0.941272        0.344581         1.73165         4.82494    
    0.955339        0.348911         1.77740         4.88562    
    0.969451        0.353323         1.82457         4.94705    
    0.983596        0.357757         1.87288         5.00923    
    0.997772        0.362224         1.92207         5.07223    
1
    0.130359        0.195450        0.442499         2.23508    
    0.143429        0.198500        0.455223         2.26311    
    0.156514        0.201576        0.468267         2.29149    
    0.169617        0.204680        0.481655         2.32023    
    0.182737        0.207811        0.495370         2.34933    
    0.195875        0.210972        0.509438         2.37880    
    0.209030        0.214160        0.523865         2.40864    
    0.222203        0.217378        0.538667         2.43886    
    0.235395        0.220625        0.553839         2.46946    
    0.248606        0.223903        0.569405         2.50045    
    0.261836        0.227210        0.585368         2.53182    
    0.275086        0.230550        0.601737         2.56360    
    0.288357        0.233921        0.618535         2.59578    
    0.301647        0.237323        0.635753         2.62836    
    0.314959        0.240759        0.653422         2.66135    
    0.328292        0.244227        0.671532         2.69476    
    0.341647        0.247729        0.690119         2.72859    
    0.355025        0.251264        0.709189         2.76284    
    0.368426        0.254833        0.728747         2.79753    
    0.381850        0.258438        0.748807         2.83266    
    0.395297        0.262078        0.769388         2.86823    
    0.408770        0.265752        0.790501         2.90424    
    0.422267        0.269462        0.812167         2.94071    
    0.435790        0.273211        0.834393         2.97765    
    0.449339        0.276996        0.857194         3.01504    
    0.462915        0.280816        0.880567         3.05291    
    0.476519        0.284677        0.904584         3.09125    
    0.490150        0.288574        0.929191         3.13008    
    0.503810        0.292511        0.954452         3.16940    
    0.517499        0.296486        0.980365         3.20920    
    0.531219        0.300503         1.00697         3.24952    
    0.544969        0.304558         1.03429         3.29034    
    0.558750        0.308654         1.06223         3.33167    
    0.572564        0.312792         1.09096         3.37353    
    0.586413        0.316973         1.12050         3.41590    
    0.600289        0.321182         1.15072         3.45883    
    0.614203        0.325449         1.18187         3.50228    
    0.628153        0.329753         1.21373         3.54629    
    0.642137        0.334101         1.24640         3.59084    
    0.656157        0.338487         1.28001         3.63596    
    0.670219        0.342933         1.31450         3.68163    
    0.684315        0.347388         1.34981         3.72790    
    0.698457        0.351938         1.38632         3.77473    
    0.712628        0.356487         1.42333         3.82218    
    0.726849        0.361108         1.46169         3.87020    
    0.741109        0.365758         1.50096         3.91883    
    0.755415        0.370474         1.54133         3.96807    
    0.769756        0.375210         1.58256         4.01794    
    0.784152        0.380018         1.62511         4.06844    
    0.798594        0.384861         1.66882         4.11956    
    0.813071        0.389745         1.71335         4.17134    
    0.827603        0.394684         1.75930         4.22375    
    0.842189        0.399675         1.80659         4.27684    
    0.856821        0.404712         1.85508         4.33057    
    0.871498        0.409784         1.90463         4.38502    
    0.886236        0.414926         1.95580         4.44011    
    0.901029        0.420109         2.00831         4.49592    
    0.915871        0.425342         2.06212         4.55245    
    0.930789        0.430644         2.11787         4.60962    
    0.945732        0.435963         2.17431         4.66758    
    0.960744        0.441336         2.23266         4.72624    
    0.975825        0.446767         2.29260         4.78567    
    0.990972        0.452273         2.35444         4.84577    
     1.00617        0.457790         2.41766         4.90668    
     1.02142        0.463375         2.48235         4.96838    
1
    0.173925        0.250753        0.590539         2.30549    
    0.187358        0.254588        0.607478         2.33436    
    0.200817        0.258454        0.624855         2.36359    
    0.214303        0.262354        0.642679         2.39319    
    0.227816        0.266288        0.660958         2.42317    
    0.241358        0.270258        0.679708         2.45353    
    0.254927        0.274261        0.698950         2.48427    
    0.268526        0.278300        0.718689         2.51540    
    0.282154        0.282375        0.738936         2.54692    
    0.295812        0.286487        0.759708         2.57884    
