



               TESTING THE FUNCTION ABRAM0

     ARGUMENT             ABS. ERROR             REL. ERROR
      16.2500            0.00000D+00            0.00000D+00
      17.0000            0.00000D+00            0.00000D+00
      20.0000            0.69389D-17            0.21744D-15
      25.0000            0.34694D-17            0.13602D-15
      30.0000            0.34694D-17            0.16331D-15
      40.0000            0.69389D-17            0.43571D-15
      50.0000            0.17347D-17            0.13619D-15
      75.0000            0.34694D-17            0.40866D-15
     100.0000            0.17347D-17            0.27246D-15
     125.0000            0.00000D+00            0.00000D+00




               TESTING THE FUNCTION I1ML1 

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.10842D-18            0.11111D-15
       0.0156            0.86736D-18            0.11176D-15
       0.1250            0.00000D+00            0.00000D+00
       0.5000            0.27756D-16            0.13609D-15
       1.0000            0.55511D-16            0.16404D-15
       2.0000            0.00000D+00            0.00000D+00
       4.0000            0.11102D-15            0.18811D-15
       8.0000            0.22204D-15            0.35468D-15
      12.0000            0.22204D-15            0.35128D-15
      16.0000            0.22204D-15            0.35017D-15
      16.2500            0.00000D+00            0.00000D+00
      17.0000            0.11102D-15            0.17501D-15
      20.0000            0.11102D-15            0.17483D-15
      25.0000            0.11102D-15            0.17467D-15
      30.0000            0.11102D-15            0.17459D-15
      40.0000            0.11102D-15            0.17450D-15
      50.0000            0.11102D-15            0.17446D-15
      75.0000            0.00000D+00            0.00000D+00
     100.0000            0.00000D+00            0.00000D+00
     125.0000            0.11102D-15            0.17440D-15




               TESTING THE FUNCTION J0INT 

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0010            0.00000D+00            0.00000D+00
       0.0039            0.00000D+00            0.00000D+00
      -0.0625            0.13878D-16            0.22212D-15
       0.1250            0.13878D-16            0.11117D-15
      -0.5000            0.55511D-16            0.11336D-15
       1.0000            0.00000D+00            0.00000D+00
      -2.0000            0.00000D+00            0.00000D+00
       4.0000            0.00000D+00            0.00000D+00
      -8.0000            0.22204D-15            0.18339D-15
      16.0000            0.00000D+00            0.00000D+00
     -16.5000            0.00000D+00            0.00000D+00
      18.0000            0.00000D+00            0.00000D+00
     -20.0000            0.22204D-15            0.20980D-15
      25.0000            0.00000D+00            0.00000D+00
     -30.0000            0.00000D+00            0.00000D+00
      40.0000            0.00000D+00            0.00000D+00
     -50.0000            0.22204D-15            0.24633D-15
      75.0000            0.22204D-15            0.24283D-15
     -80.0000            0.22204D-15            0.23501D-15
     100.0000            0.00000D+00            0.00000D+00




               TESTING THE FUNCTION K0INT 

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0010            0.34694D-17            0.44147D-15
       0.0039            0.00000D+00            0.00000D+00
       0.0625            0.83267D-16            0.34249D-15
       0.1250            0.27756D-15            0.69390D-15
       0.5000            0.55511D-15            0.59876D-15
       1.0000            0.19984D-14            0.16084D-14
       2.0000            0.88818D-15            0.60270D-15
       4.0000            0.24425D-14            0.15650D-14
       5.0000            0.82157D-14            0.52416D-14
       6.0000            0.22204D-15            0.14146D-15
       6.5000            0.00000D+00            0.00000D+00
       8.0000            0.22204D-15            0.14137D-15
      10.0000            0.22204D-15            0.14136D-15
      12.0000            0.00000D+00            0.00000D+00
      15.0000            0.22204D-15            0.14136D-15
      20.0000            0.00000D+00            0.00000D+00
      30.0000            0.22204D-15            0.14136D-15
      50.0000            0.00000D+00            0.00000D+00
      80.0000            0.00000D+00            0.00000D+00
     100.0000            0.00000D+00            0.00000D+00




               TESTING THE FUNCTION LOBACH

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.20680D-24            0.16653D-15
       0.0078            0.13235D-22            0.16653D-15
       0.0313            0.00000D+00            0.00000D+00
       0.1250            0.00000D+00            0.00000D+00
       0.5000            0.00000D+00            0.00000D+00
       1.0000            0.83267D-16            0.44400D-15
       1.5000            0.00000D+00            0.00000D+00
       2.0000            0.00000D+00            0.00000D+00
       2.5000            0.00000D+00            0.00000D+00
       3.0000            0.00000D+00            0.00000D+00
       4.0000            0.00000D+00            0.00000D+00
       5.0000            0.00000D+00            0.00000D+00
       6.0000            0.88818D-15            0.20412D-15
       7.0000            0.00000D+00            0.00000D+00
      10.0000            0.00000D+00            0.00000D+00
      15.0000            0.00000D+00            0.00000D+00
      20.0000            0.00000D+00            0.00000D+00
      30.0000            0.00000D+00            0.00000D+00
      50.0000            0.00000D+00            0.00000D+00
     100.0000            0.00000D+00            0.00000D+00




               TESTING THE FUNCTION STROM 

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.73956D-31            0.33768D-15
       0.0078            0.00000D+00            0.00000D+00
       0.0313            0.00000D+00            0.00000D+00
       0.1250            0.52940D-22            0.21416D-15
       0.5000            0.54210D-19            0.18698D-15
       1.0000            0.00000D+00            0.00000D+00
       1.5000            0.00000D+00            0.00000D+00
       2.0000            0.55511D-16            0.13861D-15
       3.0000            0.44409D-15            0.14558D-15
       4.0000            0.17764D-14            0.15626D-15
       4.1250            0.26112D-12            0.20147D-13
       4.5000            0.35527D-13            0.19153D-14
       5.0000            0.17053D-12            0.61196D-14
       6.0000            0.42633D-13            0.82044D-15
       8.0000            0.17053D-12            0.15701D-14
      10.0000            0.56843D-13            0.36962D-15
      15.0000            0.00000D+00            0.00000D+00
      20.0000            0.00000D+00            0.00000D+00
      30.0000            0.00000D+00            0.00000D+00
      50.0000            0.28422D-13            0.14463D-15




               TESTING THE FUNCTION STRVH0

     ARGUMENT             ABS. ERROR             REL. ERROR
       0.0020            0.21684D-18            0.17439D-15
      -0.0078            0.86736D-18            0.17439D-15
       0.0625            0.00000D+00            0.00000D+00
      -0.2500            0.55511D-16            0.35122D-15
       1.0000            0.33307D-15            0.58571D-15
       1.2500            0.11102D-15            0.16670D-15
       2.0000            0.00000D+00            0.00000D+00
      -4.0000            0.55511D-16            0.41115D-15
       7.5000            0.83267D-16            0.41454D-15
      11.0000            0.69389D-16            0.62276D-15
      11.5000            0.55511D-16            0.32602D-15
     -16.0000            0.16653D-15            0.12295D-14
      20.0000            0.13878D-15            0.14702D-14
      25.0000            0.69389D-16            0.68145D-15
     -30.0000            0.69389D-16            0.72206D-15
      50.0000            0.15266D-15            0.17888D-14
      75.0000            0.97145D-16            0.12635D-14
     -80.0000            0.17347D-15            0.36395D-14
     100.0000            0.41633D-16            0.58739D-15
    -125.0000            0.13878D-16            0.21106D-15




               TESTING THE FUNCTION STRVH1

